ScientificName,CommonName,NewMonths
Protographium leosthenes,Four-barred Swordtail,Aug
Papilio ambrax,Ambrax Swallowtail,Jul
Allora major,Greater Peacock Awl,"Feb, Nov"
Hasora hurama,Broad-banded Awl,Aug
Euschemon rafflesia,Regent Skipper,Jul
Netrocoryne repanda,Bronze Flat,Aug
Chaetocneme beata,Eastern Dusk-flat,May
Chaetocneme critomedia,Banded Dusk-flat,"Jun, Aug"
Chaetocneme porphyropis,Purple Dusk-flat,"Jan, Aug"
Timoconia melania,Dark Grass-skipper,"Jul, Nov"
Timoconia flammeata,Bright Shield-skipper,"Jun, Nov"
Timoconia peron,Dingy Grass-skipper,"Jun, Aug"
Timoconia tymbophora,Dark Shield-skipper,Dec
Antipodia atralba,Diamond Sand-skipper,Jan
Antipodia chaostola,Heath Sand-skipper,Feb
Antipodia dactyliota,Western Sand-skipper,Dec
Croitana aestiva,Desert Sand-skipper,Aug
Dispar compacta,Barred Skipper,"May, Dec"
Hesperilla crypsargyra,Silver Sedge-skipper,May
Hesperilla idothea,Flame Sedge-skipper,Apr
Hesperilla mastersi,Chequered Sedge-skipper,Oct
Hesperilla ornata,Spotted Sedge-skipper,Jul
Hesperilla picta,Painted Sedge-skipper,May
Mesodina cyanophracta,Blue Iris-skipper,Sep
Pasma tasmanica,Two-spotted Grass-skipper,"Apr, Sep"
Toxidia doubledayi,Lilac Grass-skipper,Aug
Toxidia parvula,Banded Grass-skipper,May
Toxidia thyrrhus,Dusky Grass-skipper,"Jun, Jul"
Toxidia xiphiphora,Sword-brand Grass-skipper,Apr
Trapezites luteus,Yellow Ochre,Apr
Trapezites macqueeni,Bronze Ochre,Nov
Trapezites maheta,Northern Silver Ochre,May
Trapezites phigalia,Heath Ochre,Apr
Trapezites phigalioides,Montane Ochre,Sep
Trapezites praxedes,Southern Silver Ochre,"Apr, May, Aug"
Trapezites symmomus,Splendid Ochre,"May, Jun, Jul"
Borbo cinnara,Rice Swift,"Jan, Feb"
Borbo impar,Yellow Swift,Jun
Parnara amalia,Orange Swift,Aug
Parnara bada,Grey Swift,Jul
Bibla papyria,White-banded Grass-dart,"May, Jun"
Arrhenes marnas,Swamp Darter,Oct
Ocybadistes knightorum,Black Grass-dart,"Jan, Mar, Jun"
Taractrocera ina,No-brand Grass-dart,Aug
Telicota paceka,Narrow-brand Darter,Dec
Telicota anisodesma,Southern Large Darter,Sep
Delias aestiva,Mangrove Jezebel,Dec
Delias aganippe,Spotted Jezebel,"Jun, Jul"
Euploea climena,Climena Crow,"Jan, Feb, Mar, Apr, Jun, Dec"
Acraea terpsicore,Tawny Coster,Oct
Vagrans egista,Tailed Rustic,"Aug, Sep"
Libythea geoffroyi,Purple Beak,Aug
Vanessa kershawi,Australian Painted Lady,"Jun, Jul"
Hypolimnas anomala,Crow Eggfly,"May, Jun, Aug, Nov"
Charaxes andrewsi,Christmas Emperor,Jan
Oreixenica kershawi,Striped Xenica,May
Oreixenica lathoniella,Silver Xenica,Dec
Argynnina cyrila,Forest Brown,"Feb, Mar, Apr"
Geitoneura minyas,Western Xenica,"Jan, Dec"
Heteronympha banksii,Banks' Brown,"Jun, Dec"
Heteronympha cordace,Bright-eyed Brown,Apr
Heteronympha merope,Common Brown,"Jun, Aug"
Heteronympha mirifica,Wonder Brown,"Jun, Sep"
Heteronympha penelope,Shouldered Brown,"Oct, Nov, Dec"
Hypocysta pseudirius,Grey Ringlet,"Jun, Jul"
Tisiphone abeona,Varied Sword-grass Brown,"May, Jun, Aug"
Pseudalmenus chlorinda,Silky Hairstreak,"Apr, Jul"
Jalmenus evagoras,Imperial Hairstreak,May
Jalmenus icilius,Amethyst Hairstreak,May
Jalmenus ictinus,Stencilled Hairstreak,"Apr, May, Oct"
Jalmenus inous,Varied Hairstreak,Apr
Jalmenus pseudictinus,Macqueen's Hairstreak,Aug
Cyprotides pallescens,Large Trident-blue,Apr
Candalides xanthospilos,Yellow-spotted Blue,Jul
Erina acasta,Blotched Dusky-blue,"May, Jun, Jul"
Erina hyacinthina,Varied Dusky-blue,"May, Jun, Jul"
Hypochrysops cyane,Cyane Jewel,May
Hypochrysops delicia,Moonlight Jewel,"Jul, Aug"
Hypochrysops ignitus,Fiery Jewel,"Jul, Aug, Sep"
Ogyris abrota,Dark Purple Azure,Sep
Ogyris aenone,Cooktown Azure,"May, Jun, Jul"
Ogyris amaryllis,Satin Azure,"May, Jun, Jul, Aug"
Ogyris caelestia,Saphhire Azure,May
Ogyris ianthis,Golden Azure,"Apr, May, Jun"
Ogyris iphis,Orange-tipped Azure,May
Acrodipsas cuprea,Copper Ant-blue,Aug
Paralucia aurifera,Bright Copper,Jul
Hypolycaena danis,Orchid Flash,Aug
Rapala varuna,Indigo Flash,Oct
Catopyrops ancyra,Papuan Line-blue,"May, Jul"
Erysichton lineatus,Hairy Line-blue,Jul
Ionolyce helicon,Bronze Line-blue,Feb
Neolucia agricola,Fringed Heath-Blue,Mar
Theclinesthes albocinctus,Bitter-bush Blue,Jul
